Name,Description,Capacity,Event Id,Subcategory ID,Venue ID,URL
SantaCon Chicago 2017,"

The SantaCon Chicago 2017 Saturday, December 2nd. Who: Anybody who dresses up as Santa, Santa's elves, Santa's Reindeer, Mrs Claus, or anything else Holiday related What: An afternoon adventure spreading joy and good cheer.
Ok Santa's As of right now, every bar has agreed to the time slot. So, it looks like this:  12:00- 1:00- 
1:00-1:15- The steps of The Art Institute of Chicago some Santacon style caroling!
1:15-2:30 - Beef and Brandy Restaurant and Bar 127 S State St
2:30 – 3:30 PM: Santa takeover Cloud Gate at Millennium Park
3:30 - 4:30 PM: Bar Louie 333 N. Dearborn St
4:30 - 6:00 PM: 
6:00 – 8:00 PM:
 
History: 
""Santacon wasn’t always a charitable event, or even a drinking party. It began in San Francisco in 1994 as a performant art piece intended “to make whimsical fun” of the commercialism surrounding Christmas, founder John Law told the Village Voice in 2014. That year, 34 participants clad in Santa suits marched through San Francisco gatecrashing parties and looking for other ways to “shock people,” Law said.
The event has become somewhat different in tone and purpose, transforming from a spectacle to, well, a drunken spectacle. The Christmas-focused day-drinking event has annoyed everyone from police officers to bartenders, some of which forbid people from entering their establishments on Santacon if they’re wearing a costume. "" By Kerry Close 
 
 
 
 
FINE PRINT: All Guests must be 21+ with ID. We will crawl rain or shine! NO REFUNDS! If you cannot find your ticket please contact Eventbrite.com directly, please do NOT email us as there is nothing we can do. Must be 21 years old to participate; valid State ID required. Participating venues and advertised times are subject to change. SantaCon, promotes safety and urges all participants to drink responsibly. Participating venues reserve the right to refuse entry to guests who are deemed intoxicated (or otherwise unfit) upon arrival. No refunds will be given. Gift cards must be used for food in accordance with state and local liquor laws. Participants must bring their Print At Home Ticket to the registration venue. No refunds. All sales are final. If a venue is at capacity then you may have to wait or proceed to another venue. Do not be late for registration. Prices are subject to change while supplies last.
 *Unfortunately the Eventbrite system does not allow us to restrict people who are underage from buying tickets. If you are not 21 and purchase a ticket, you will not be allowed into the event.*
 

",500,37723473926,10001,12048565,https://www.eventbrite.com/e/santacon-chicago-2017-tickets-37723473926?aff=ebapi
Hope for the Holidays Chicago,"Join WGIRLS for Hope for the Holidays, a Holiday Cocktail Fundraiser in support of Mercy Home for Boys & Girls. Each ticket will include Open Bar from 6:30-10pm (+ Christkindlmarket wine!!!!), Delicious food & Seasonal treats, and Holiday programming.The mission of Hope for the Holidays is to raise awareness and funds to support the purchase of holiday toys and other needed items for the Children of Mercy Home. To help facilitate our mission we will feature a silent auction & raffle with items from vendors such as Rebellion Bags, Kendra Scott, Pure Barre, Studio 3, Rockit Ranch, Koval, Massage Envy and more. This is a great opportunity to pick up holiday gifts for your loved ones and pass that love along to the childern of Chicago.Along with the silent auction & raffle there will be a photobooth and a Giving Tree where you can directly donate specific items requested by the children. At the heart of the event we want to embrace the season of giving and support Mercy Home, whom will also be speaking about their organization and the children they support.
Hope for the Holidays aims to be an annual beacon of hope for the children of Chicago.",230,38240988827,11006,21311205,https://www.eventbrite.com/e/hope-for-the-holidays-chicago-tickets-38240988827?aff=ebapi
Chicago Reach Holiday Celebration,"It's December, friends, which means Holiday music is officially welcomed and Chicago Reach  is ready to embrace another featured nonprofit partner.  We are partnering with The Simple Good, a nonprofit that connects the meaning of ""good"" in our community to empower at-risk youth to bring positivity into Chicago through art and discussion.  They are excited to share their mission with us, and we are excited to learn. 
Join us at Moonlight Studios, where we will have a Holiday themed celebration with a full open bar from 8pm - midnight for just $40.  Bring the class, bring the Holiday cheer, and get ready for a specialty drinks menu and featured restaurant stands with small plates of food included.
Attire is ""Holiday class"" and all are welcome.
P.S. Since it is the Holiday season, Chicago Reach pledges to do our part helping bring joy to families through providing gifts that are otherwise not in the cards for the Holidays.  10% of our ticket price will be spent on gifts for sponsored families through our partnership with Angel Tree.  Chicago Reach will go as a group to purchase these gifts the week following this event.  Follow us on IG and FB to learn how to join us!",225,39252869389,13003,21782864,https://www.eventbrite.com/e/chicago-reach-holiday-celebration-tickets-39252869389?aff=ebapi
ASIS Chicago November Luncheon,"ASIS Chicago November 2017 Luncheon

Thursday, November 16th, 2017
11:30 a.m. - 1:30 p.m.

Presenter: 
Mariann Blacconiere, LCSW
Mariann is a Licensed Clinical Social Worker with more than 20 years of experience as a mental health professional working at Edward J. Hines VA Hospital. She currently has responsibility for suicide prevention, prevention and management of disruptive behavior as well as development and implementation of training programs for VA staff relating to patient and staff safety. She received her Master of Social Work from the University of Illinois at Jane Addams, a Master of Arts in European History and Bachelor of Arts degrees from Northern Illinois University.
Presentation:
Prevention & Management of Disruptive and Potentially Violent Behavior in a Large Medical Center   
​​This presentation will include current policies and assessment instruments being effectively used by mental health and security professionals to address the safety and security needs in one of the largest Veteran’s Administration Medical Centers in the country: Edward J. Hines VA Hospital. Topics to be discussed will include: suicide prevention, policies for high risk patients, use of EAP, trauma counseling, specialized training and use of effective assessment instruments: WAVR-21 and HCR-20v3 as well as Veteran-Specific Threat Assessment tools.

Erie Cafe
536 W. Erie Street
Chicago, IL 60606

Pre-Registration - $40
At-the-door - $50",100,38872334198,1999,16934464,https://www.eventbrite.com/e/asis-chicago-november-luncheon-tickets-38872334198?aff=ebapi
#EveryWoman Project Chicago,"Show Some Love to The #EveryWoman Project Chicago- Help Us TODAY Get Feminine Care Packages to Women in Need TOMORROW...
The #EveryWoman Project's goal is to deliver 1,000 feminine care packages to women in our communities, which consist of the products we women need to survive our period each month. 
We need your help, fellow Chicagoans, to write encouraging notes, assemble care packages, and/or drop off care packages to over 175 women on our streets & homeless shelters on the West and South Sides of Chicago at our giveaways the third Saturday of each month!
 We hope that you will partner with us to make each giveaway day a memorable one!
FAQs
Are there ID or minimum age requirements to enter the event?
There are no minimum age requirements to participate in this event. However, assemblers must be comfortable with packing feminine hygiene products like Maxi Pads, tampons, and/or disposable wipes. 
 
What are my transportation/parking options for getting to and from the event?
There is plenty of free street parking around the Gary Comer Youth Center on Ingleside Avenue, South Chicago Avenue, 71st, 72nd, & 73rd Street.
 
What can I bring into the event?
Please bring a spirit to serve with joy to this event...we want you to feel good about giving a small portion of your time by impacting a large portion of the homeless population within our communities.
Please wear comfortable clothing.
 
How can I contact the organizer with any questions?
Please feel free to email us @ everywomanprojectchicago@gmail.com or send a message through EventBrite. We will quickly get back to you to answer any questions you may have!

 ",25,36973385391,11006,20704871,https://www.eventbrite.com/e/everywoman-project-chicago-tickets-36973385391?aff=ebapi
Chicago Independent Film Festival,"Chicago Independent Film Festival takes place in Chicago, Illinois at the Rugby Club (3614 N. Damen Avenue).",600,30329778183,4002,17703903,https://www.eventbrite.com/e/chicago-independent-film-festival-tickets-30329778183?aff=ebapi
The Chicago Beefsteak X - 2018,"""Oh they were amazing functions, he said.  The men wore butcher aprons and chef hats.  They used the skirt of the apron to wipe the grease off their faces.  Napkins were not allowed""...
____________________________________________________________________________
The Chicago Beefsteak is an event like no other.  It is a private men's event by invite-only from either prior members or the founding fathers themselves.  The evening brings an over-indulgent expression of excess; a release from the daily sufferings of the long Chicago winter with a classy group of men and their expanding social network.
Cheers,The Chicago Beefsteak",260,38894171514,10003,11789256,https://www.eventbrite.com/e/the-chicago-beefsteak-x-2018-registration-38894171514?aff=ebapi
Cocktails & Conversations with Chicago Scholars,"Join Chicago Scholars for Cocktails and Conversations at Refuge Live!
To kick off our mentoring recruitment season for the college class of 2023, join us at Refuge Live as we host an evening of conversation, networking, and cocktails!
Chicago Scholars is a local non-profit that prepares under-resourced and first-generation Chicago high school students for college and career success through a seven-year program. Refuge Live is a jazz club in the Chicago Loop that hosts many live music concerts, spoken word events, and community gatherings.
Together, Chicago Scholars and Refuge Live wish to invite you to come discuss the ""Importance and Impact of Mentorship for Students of Color."" Come meet some of the Chicago Scholars mentors & staff, enjoy after-work drinks, network with other young professionals, and hear multiple perspectives on how mentorship can have a positive impact on Chicago's youth.
We look forward to seeing you there!",200,39620943308,13003,21972602,https://www.eventbrite.com/e/cocktails-conversations-with-chicago-scholars-tickets-39620943308?aff=ebapi
Chicago - Breakfast with Santa,"Dear JCU Alumni and Families,
I hope you will join me on Sunday, December 10, 2017, for the John Carroll University Breakfast with Santa at The Chicago Club. Mass will begin at 10 a.m. in the Burnham Ball Room. Breakfast will start immediately following. For more information call the John Carroll Office of Alumni Relations at 216.397.3061.
This year, the Chicago Alumni Chapter is encouraging alumni to bring a small gift ($10) for a child for donation to Mercy Home for Boys & Girls, a charity dedicated to providing a solution for abused, neglected, and abandoned children in Chicago, Illinois. Possible gifts include Uno, Phase 10, Skip Bo, Dominos games, $10 movie passes and gift cards to Target, Best Buy, and Macy's. 
~ Santa Claus",150,37431394308,,16851932,https://www.eventbrite.com/e/chicago-breakfast-with-santa-tickets-37431394308?aff=ebapi
Chicago Hammers & Ales,"Join the Chicago Community ToolBank on Tuesday, November 14th from 5:30–8:30pm as we celebrate our first year of operations! To date in 2017, we've provided great impact in the greater Chicagoland area. Stop by to join us as we celebrate our success and build for the future!
Hammers & Ales is a party, a toast to our shared community and a fundraiser. We'll Celebrate at Lagunitas Brewery, located 2607 West 17th Street, Chicago Illinois 60606. Just around the corner from the Chicago Community ToolBank. 
Hammers & Ales will feature live music, incredible food and of course--great beer! We'll raffle off and auction valuable prizes--all to raise money in support of our mission: to empower Greater Chicagoland volunteers with tools to strengthen and celebrate our shared community.
Tickets are just $35! All proceeds will benefit the ToolBank directly and are tax deductible up to 50%.
Corporate sponsorships are still available. Contact Executive Director Kimberly.grigsby@toolbank.org for sponsorship levels.
You can learn more about the ToolBank at www.chicagotoolbank.org
We look forward to seeing you at Hammers & Ales!",400,37311378337,11999,20861767,https://www.eventbrite.com/e/chicago-hammers-ales-tickets-37311378337?aff=ebapi
